 ,cantPalabra,cantUsuariosTotal,regionTest,provinciaSinEsaPalabra,Palabra Candidata,rankPalabras,rankPalabras_Personas,rankPersonas,FnormMax,FnormMin,provinciaFnormMax,provinciaFnormMin,entropy_palabras,entropy_personas,esLugar,fnormArgentina,information_value_palabras,information_value_personas,information_value_personas_palabras,maxDif,normCantPalabras,normCantPersonas,shuffled_entropy_palabras,shuffled_entropy_personas,,
logroño,2592,132,['larioja'],20,0,5,8,1,383.290488166,0.111428409698,larioja,buenosaires,0.00683626478066,0.0890179941074,lugar,1.37516102037e-05,35.4315761819,34.2278207866,1.21911199853,3439.79142486,0.342184497536,0.377770615334,3.13135521106,3.10738426685,,Faltan considerar
breñas,2590,170,['chaco'],17,0,6,6,2,338.811865541,0.108242375461,chaco,tucuman,0.0382414330814,0.232403615888,lugar,1.37409993934e-05,35.0872249917,32.4697008949,1.23900198998,3130.12222891,0.342120799003,0.408690491197,3.13269779998,3.09601202862,,4986
oberá,4322,378,['misiones'],8,0,3,2,3,544.787249924,0.100081756787,misiones,rionegro,0.124486484539,0.569655776929,lugar,2.29299611499e-05,36.3296121266,30.7139600397,1.48885726385,5443.4221322,0.384376761891,0.506351685108,3.1325313771,3.11273194041,,
chivilcoy,4074,469,['buenosaires'],4,0,4,1,4,444.822211515,0.119363192593,buenosaires,sanjuan,0.150103479333,0.558161233576,lugar,2.16142206674e-05,35.7647206245,30.5462867246,1.53574799747,3726.62796505,0.379500327046,0.532714428914,3.13242785389,3.10533436565,,
ush,2137,465,['tierradelfuego'],5,0,11,4,5,245.115850537,0.110846938225,tierradelfuego,neuquen,0.134389876572,0.362701972039,lugar,1.13376508508e-05,33.1269608913,30.4972033049,1.43226019585,2211.30014471,0.32625564682,0.531667616246,3.12922300479,3.11979264134,,
chivil,811,241,['buenosaires'],21,0,31,14,6,90.2570118555,0.118667036908,buenosaires,corrientes,0.00949155521301,0.0268992504945,ok,4.30268359384e-06,30.0744778169,29.7076823301,1.06357124528,760.590423486,0.246301426978,0.45134321394,3.12164522497,3.10109635364,,
ipauss,812,83,['tierradelfuego'],22,0,30,39,7,94.8684798074,94.8684798074,tierradelfuego,tierradelfuego,0.0,0.0,ok,4.30798899901e-06,30.1346643113,29.0181482827,0.74053405644,1.0,0.246403117003,0.321067754074,3.11780827584,3.00229071512,,
blv,1227,174,['sanluis'],15,0,21,17,8,146.269532477,0.106355835356,sanluis,mendoza,0.0567905638155,0.246957789596,ok,6.50973214505e-06,31.4572590058,28.842389121,0.994651075212,1375.28450589,0.280470206373,0.411532820043,3.12252545265,3.05785490524,,
sciurano,929,124,['tierradelfuego'],20,0,25,25,9,108.304286677,0.147988605469,tierradelfuego,larioja,0.0168633617637,0.0937447312707,ok,4.92872140404e-06,30.6305631417,28.5823359777,0.858400419944,731.842065362,0.257511196624,0.370129712925,3.12355792751,2.99269854572,,
obera,2106,410,['misiones'],6,0,17,5,10,260.070444945,0.106355835356,misiones,mendoza,0.24539058485,0.543877207857,lugar,1.11731832905e-05,31.8574556557,28.4390423577,1.2473921712,2445.28609148,0.325049797031,0.516283208343,3.1309539587,3.11980982162,,
