,Palabra,sugerencias
0,q,
1,dia,"dias,diaa,diaz,diia,dira,diaaa,diass,diran"
2,asi,"asii,asiq,asiii,rasin"
3,pessoas,"pessoa,essas,pesao,esso,personitas"
4,seu,"secu,segui,segun"
5,i,
6,the,"they,them,then,there,other,these"
7,you,"your,youuu,young,yours"
8,and,"andy,sand,hand,band,an,candy,wanda,andaa,andre,hands"
9,finde,"findes,findee,find,findeee,fidel,friend,indec,friends"
10,river,"rivero,riverr,riverrr,riveeer,riber,rie,drive,diver"
11,one,"gone,on,money,jones,honey"
12,x,
13,unfollowers,"unfollower,unfollows,unfollow,unfollowed,followers,follower,follows"
14,foi,
15,via,"veia,viram,vidaa,vidal,viale"
16,facebook,"face,feoo"
17,nas,
18,twitter,"twittear,twittera,twiter,twitteros,twitt,twittea,twitear,twitteo,twittean,twit,twitts,twiteo,twitea,twitteando,twits,tuiter,twiteando"
19,c,
20,dias,"diass,diasss,diaaas,dis,decias,podias,diaa,diaz,diia,dira,days"
21,lpm,"lrpm,lptm,lpmm,lp,lpmmm"
22,aca,"acaa,acha,ac,acaaa"
23,followed,"follow,follower,unfollowed,followers,follows,folklore,following,unfollower"
24,nose,"nosee,noseee,noe,nosé,noel"
25,by,bye
26,despues,"desp,despertas,desperte,desperto"
27,tambien,"tambienn,tambieen,tambieeen,tambiennn,tambn,tamb,tambiénnn,tami,tamii"
28,stats,"status,state,stars,start"
29,new,news
30,ahi,"ahii,bahia,ahiii,nahir"
31,people,
32,love,"loves,loved,lovely,loveee,lov,lore,live"
33,chau,"chauu,chauuu,chaaau,chu,chamuyo,chamuya,chan,chaqueño,chamuyar,chao,chamuyos,changuito,chamuyero,chuu,chamuyando,calu,clau"
34,estan,"estaran,estacion,estaa,esten,estara,estare,estaria,estaras,est,estarias"
35,checked,"check,chee"
36,t,
37,automatically,automaticamente
38,xq,xqe
39,my,
40,queres,"quere,qeres,queresss,quee,querias,quero,queriamos,queen,queria"
41,pa,"pas,pau,paa,pao,pag,pam"
42,bue,"buee,blue,abue,bueh,bueee,bueen,buenn,bueni"
43,hdp,"hdmp,hdps,hd,hdppp"
44,today,"toddy,toddys,todavia,todabia,tod"
45,followers,"follower,follows,follow,unfollower,folklore,following,unfollows"
46,person,"peron,personita,perdon,personitas,presion,prison,peronista,peronismo,perón,peroo,perdonnn,perdooon,peronistas,respondi,pesao,peero,penso"
47,rt,"rts,rtw"
48,m,
49,xd,xdd
50,qe,
51,tw,"twd,two,tws,twt"
52,messi,"ess,jessi,menoss"
53,status,"state,stars,start,starbucks"
54,s,
55,meu,
