palabra,pvalorWelch
chivilcoy,4.84633544883e-19
oberá,9.51218816265e-14
ushuaia,2.55470008116e-30
ush,2.37118621505e-15
obera,2.43485354641e-15
breñas,2.81280381946e-05
viedma,7.16069885879e-29
bragado,1.63910234428e-08
logroño,7.38517310385e-15
nqn,2.66884516379e-43
tdf,9.76874406469e-16
riojanos,0.000421686028633
charata,5.9664044825e-06
chivil,5.66779933244e-27
cldo,2.09334104062e-18
blv,6.2434236458e-16
rioja,7.31720887224e-43
choele,3.04367929715e-06
tolhuin,3.74582267572e-12
rada,2.52926255283e-22
fueguinos,0.0618693645933
tilly,1.4566154363e-08
comodoro,3.69908169216e-14
sciurano,1.04448364215e-08
plottier,4.00548058826e-08
fsa,3.86834892447e-12
chilecito,5.10870546934e-12
patagones,1.00585273222e-11
merlo,1.0187254403e-20
nox,1.08948239487e-16
concordia,6.80452906821e-18
gallegos,1.50892588473e-23
vallerga,1.29873505403e-19
posadas,1.43063009424e-48
aijue,0.000372401699455
ctes,2.04339722813e-30
fueguino,5.95557675705e-08
ipauss,3.46877836578e-08
riojana,1.33681631499e-06
unlar,1.31394051007e-12
riojano,2.21191536869e-07
sgo,1.81707093718e-18
toay,2.91483075842e-14
rg,2.08572577747e-52
chamical,0.00242561067201
lamarque,3.21036753735e-05
casilda,0.0320312035135
mnes,0.00201289231746
catamarca,1.43967216657e-31
jei,2.69222075432e-28
chepes,0.0236652444299
embalse,7.93667584737e-10
akil,9.15752951829e-16
beder,8.00228700112e-13
formosa,1.96034912436e-26
mdt,8.08473936992e-13
cafayate,0.000351912859484
tafi,1.02135278776e-07
malpegue,2.74256058163e-21
jumeal,5.37775110223e-14
nae,2.55947774246e-26
quitilipi,0.00616872124806
trapani,3.55472146439e-17
cdelu,2.257004226e-10
neuquén,7.58477786085e-21
jujuy,4.66212803209e-46
kraka,3.0684061404e-12
unju,0.257384042341
rodeo,3.50090237705e-44
afrah,3.32908547596e-08
resis,2.916418882e-28
quedarla,8.72763177962e-15
neuquen,4.94392848005e-25
tkt,2.58156734897e-09
exxim,1.55541737576e-10
otc,0.0631327395763
argel,1.83474565262e-38
aimogasta,0.00662955860582
mitai,2.64107660537e-13
kryon,3.73466916912e-12
famatina,0.000725728760245
sanra,2.25000266151e-10
unsa,6.46255304285e-09
tere,8.88149668038e-93
bowen,4.17415676702e-06
sanagasta,1.07355996812e-12
mza,2.58769109234e-09
cipo,1.27428780255e-19
comodorense,1.37283420053e-08
clda,5.95409684295e-17
jujeño,2.75472088974e-20
epe,2.50290428845e-10
zonda,2.006956579e-55
ozono,4.29347564546e-25
kalima,1.8324970956e-07
wha,2.41492864341e-60
fueguina,5.75852968009e-10
chimbas,0.00471173145479
fellner,7.47557560929e-07
anga,1.23564756944e-42
jujeños,2.48161091923e-11
colombi,0.0130061893838
vendimia,0.000242415737908
reviro,2.86212752511e-17
chipitas,5.18064268657e-22
taj,1.10666298982e-10
calafate,1.03553801975e-05
iskra,6.35993470039e-06
quintela,3.32467843795e-05
poec,4.24749531146e-19
calahorra,0.00964846746134
yarca,1.72331605952e-10
eldorado,4.48349505304e-06
malal,0.001418983269
anguil,2.88663169455e-05
lb,1.15473014578e-34
jujeña,5.90602819561e-16
nautico,0.145779276612
alvearense,0.00930934981844
zapala,0.0173770338389
scpl,0.00221665410143
calamuchita,0.216210183455
apóstoles,0.00109496413157
gildo,3.72908245407e-09
sutef,4.17158422606e-06
clorinda,5.86256249887e-09
sinf,4.0465972753e-08
roka,0.0291363987156
teres,1.15342048128e-132
apostoles,0.0149970643646
chaya,7.71487300742e-21
rionegrinos,8.16570532064e-06
neuquino,1.98535137505e-07
castex,9.55174375831e-08
vuoto,9.0269387162e-05
empingue,4.81474671165e-16
secamente,9.02190493241e-09
corrientes,4.07706663316e-44
edet,3.72844110655e-15
chos,0.000999291579762
ancasti,1.53406217221e-07
carhue,7.21512047952e-07
bertone,5.57324685725e-09
yf,1.31422470745e-11
padua,6.56999086869e-06
weretilneck,0.00255865247953
choel,0.00752448102864
kolor,1.19636461878e-09
palpala,4.28528921901e-07
caucete,2.32614523861e-09
mbae,8.86427091366e-17
olta,0.00286721797592
tuc,4.22367451326e-30
misiones,3.23476865904e-25
aij,2.42636207469e-10
ura,1.35735345019e-25
secheep,0.0088801290741
ais,6.44761888889e-08
cutral,2.89463414386e-07
yarco,4.61732188796e-17
empinga,2.38560263079e-21
goa,3.07119312533e-13
rionegrinas,0.271046048206
defe,4.18756479992e-11
nob,1.21817558791e-09
itu,1.64198974491e-16
interbandos,3.14731253178e-09
grutas,2.50619060352e-24
esquiu,9.58837842133e-05
ndv,2.0219747716e-24
sanjuaninos,1.44639053786e-14
sanjuanina,1.00228761709e-07
pampeano,1.07579953332e-10
piadinas,6.63002806346e-16
pw,8.15206213015e-09
ws,2.30978499817e-44
alvear,1.4075945754e-08
inkier,8.55037972328e-10
tribuno,0.000997763390866
