,Palabra,cant central,cant cuyo,Total central,Total cuyo,Total central cuyo,Pvalue,fnorm central,fnorm cuyo,maxdif
4,alvearense,0.0,733.0,0,39,39,0.0,0.0543388926549,77.9588273163,1434.67824807
34,calamuchita,2040.0,1.0,74,1,75,3.93996619557e-228,110.851341016,0.106355835356,1042.26853792
36,santiescayol,0.0,504.0,0,1,1,1.55854454409e-216,0.0543388926549,53.6033410197,986.463624869
38,televida,0.0,492.0,0,6,6,1.98751791675e-211,0.0543388926549,52.3270709954,962.976395705
49,sanra,0.0,403.0,0,143,143,1.47620721814e-173,0.0543388926549,42.8614016487,788.779446076
60,malpegue,0.0,350.0,0,160,160,5.32254602187e-151,0.0543388926549,37.2245423748,685.044183937
63,tveo,0.0,338.0,0,1,1,6.82316788683e-146,0.0543388926549,35.9482723505,661.556954773
71,blv,1218.0,1.0,167,1,168,8.20114474553e-137,66.1847712536,0.106355835356,622.295627053
84,alvearenses,0.0,287.0,0,18,18,3.51293548095e-124,0.0543388926549,30.5241247473,561.736230827
85,indoors,0.0,278.0,0,2,2,2.38661284291e-120,0.0543388926549,29.5669222291,544.120808955
90,gargantini,0.0,270.0,0,17,17,6.08542347795e-117,0.0543388926549,28.7160755463,528.46265618
95,iskra,1.0,253.0,1,98,99,7.60291901399e-109,0.0543388926549,26.9080263452,495.189081531
118,photography,1.0,207.0,1,5,6,2.98496804191e-89,0.0543388926549,22.0156579188,405.154703071
26,bowen,3.0,616.0,3,88,91,1.29284172747e-261,0.163016677965,65.5151945796,401.892587908
126,seiscientos,1.0,196.0,1,2,3,1.45155585129e-84,0.0543388926549,20.8457437299,383.624743005
52,squash,2.0,379.0,1,2,3,1.24125605843e-161,0.10867778531,40.3088616001,370.902493873
144,malargüe,1.0,169.0,1,50,51,4.66640540222e-73,0.0543388926549,17.9741361752,330.778477385
147,tmáx,0.0,162.0,0,3,3,6.26716589946e-71,0.0543388926549,17.2296453278,317.077593708
151,cld,0.0,156.0,0,13,13,2.26640366185e-68,0.0543388926549,16.5915103156,305.333979126
170,mediatarde,1.0,147.0,1,80,81,1.11958627999e-63,0.0543388926549,15.6343077974,287.718557253
171,sugerida,1.0,146.0,1,3,4,2.98899539301e-63,0.0543388926549,15.527951962,285.761288155
183,csir,0.0,133.0,0,16,16,1.46282459402e-58,0.0543388926549,14.1453261024,260.316789896
184,novecientos,0.0,133.0,0,3,3,1.46282459402e-58,0.0543388926549,14.1453261024,260.316789896
195,nihuil,1.0,127.0,1,55,56,3.8055248698e-55,0.0543388926549,13.5071910903,248.573175314
193,atinar,0.0,127.0,0,64,64,5.31197837302e-56,0.0543388926549,13.5071910903,248.573175314
194,tunuyán,0.0,126.0,0,28,28,1.41898809241e-55,0.0543388926549,13.4008352549,246.615906217
196,gautier,0.0,124.0,0,4,4,1.01266119427e-54,0.0543388926549,13.1881235842,242.701368023
99,marcolini,2.0,248.0,1,27,28,7.24133088781e-106,0.10867778531,26.3762471684,242.701368023
218,palmares,0.0,115.0,0,61,61,7.02849212457e-51,0.0543388926549,12.230921066,225.085946151
230,uncuyo,0.0,109.0,0,60,60,2.5615808409e-48,0.0543388926549,11.5927860539,213.342331569
235,carmensa,0.0,108.0,0,31,31,6.84715133495e-48,0.0543388926549,11.4864302185,211.385062472
255,malpegada,0.0,102.0,0,61,61,2.49986477797e-45,0.0543388926549,10.8482952064,199.641447891
12,celli,11.0,1117.0,5,3,8,0.0,0.597727819204,118.799468093,198.751780118
261,sute,0.0,101.0,0,24,24,6.68426402531e-45,0.0543388926549,10.741939371,197.684178793
266,cldoo,0.0,99.0,0,37,37,4.77959056038e-44,0.0543388926549,10.5292277003,193.769640599
290,osep,1.0,95.0,1,24,25,1.74622571916e-41,0.0543388926549,10.1038043589,185.940564212
291,tvcoa,0.0,93.0,0,51,51,1.7495932161e-41,0.0543388926549,9.89109268815,182.026026017
6,alvear,41.0,3806.0,33,254,287,0.0,2.22789459885,404.790309367,181.691858123
296,potre,0.0,92.0,0,54,54,4.68034450551e-41,0.0543388926549,9.7847368528,180.06875692
309,stardoll,0.0,88.0,0,3,3,2.39826479901e-39,0.0543388926549,9.35931351137,172.239680533
327,sldos,0.0,84.0,0,1,1,1.23014147463e-37,0.0543388926549,8.93389016994,164.410604145
347,supercanal,1.0,84.0,1,25,26,8.77018419826e-37,0.0543388926549,8.93389016994,164.410604145
350,baci,1.0,83.0,1,2,3,2.34704792836e-36,0.0543388926549,8.82753433459,162.453335048
336,chacarero,0.0,83.0,0,22,22,3.29262983502e-37,0.0543388926549,8.82753433459,162.453335048
353,tupungato,1.0,82.0,1,25,26,6.28151140192e-36,0.0543388926549,8.72117849923,160.496065951
10,mza,19.0,1515.0,14,315,329,0.0,1.03243896044,161.129090565,156.066456942
76,moma,4.0,317.0,3,103,106,1.47170780746e-133,0.21735557062,33.714799808,155.113575934
368,tonetto,1.0,79.0,1,1,2,1.20467907666e-34,0.0543388926549,8.40211099316,154.62425866
19,lepra,19.0,1497.0,12,93,105,0.0,1.03243896044,159.214685529,154.212202009
156,cldos,2.0,157.0,2,78,80,4.25307185618e-67,0.10867778531,16.697866151,153.645624111
361,ordinariolibro,0.0,78.0,0,1,1,4.52854567219e-35,0.0543388926549,8.29575515781,152.666989563
360,malpega,0.0,78.0,0,60,60,4.52854567219e-35,0.0543388926549,8.29575515781,152.666989563
369,cecsagal,0.0,77.0,0,22,22,1.2126706586e-34,0.0543388926549,8.18939932245,150.709720466
377,acequia,0.0,76.0,0,56,56,3.24760093296e-34,0.0543388926549,8.08304348709,148.752451369
387,malpego,0.0,75.0,0,58,58,8.69799291392e-34,0.0543388926549,7.97668765174,146.795182272
408,homilía,1.0,74.0,1,2,3,1.65779567264e-32,0.0543388926549,7.87033181638,144.837913175
394,magnoni,0.0,74.0,0,1,1,2.3297698285e-33,0.0543388926549,7.87033181638,144.837913175
437,aristides,1.0,69.0,1,46,47,2.28609268029e-30,0.0543388926549,7.3385526396,135.05156769
8,cldo,25.0,1707.0,10,202,212,0.0,1.35847231637,181.549410954,133.642333941
429,ceyfe,260.0,0.0,1,0,1,9.80301856556e-31,14.1281120903,0.106355835356,132.83814699
443,venados,254.0,0.0,6,0,6,4.59231303531e-30,13.8020787343,0.106355835356,129.77265129
461,antigranizo,1.0,66.0,1,9,10,4.39863131572e-29,0.0543388926549,7.01948513353,129.179760399
445,pehuenche,0.0,66.0,0,16,16,6.19366830785e-30,0.0543388926549,7.01948513353,129.179760399
469,globales,1.0,65.0,1,49,50,1.17890852174e-28,0.0543388926549,6.91312929817,127.222491302
456,energies,0.0,65.0,0,1,1,1.66046992626e-29,0.0543388926549,6.91312929817,127.222491302
471,fajitas,246.0,1.0,147,1,148,1.26485559505e-28,13.3673675931,0.106355835356,125.685323691
470,rearte,0.0,63.0,0,4,4,1.19384579366e-28,0.0543388926549,6.70041762746,123.307953109
11,vendimia,17.0,1055.0,8,228,236,0.0,0.923761175133,112.205406301,121.465817488
481,scapparoni,0.0,62.0,0,3,3,3.20173623355e-28,0.0543388926549,6.5940617921,121.350684012
480,murialdo,0.0,62.0,0,30,30,3.20173623355e-28,0.0543388926549,6.5940617921,121.350684012
41,zonda,8.0,486.0,6,218,224,4.04753963808e-202,0.434711141239,51.6889359833,118.904097641
536,lep,226.0,1.0,58,1,59,2.18326042782e-26,12.28058974,0.106355835356,115.467004691
529,simalu,0.0,58.0,0,21,21,1.65844163833e-26,0.0543388926549,6.16863845068,113.521607624
530,nuova,0.0,58.0,0,2,2,1.65844163833e-26,0.0543388926549,6.16863845068,113.521607624
528,electricity,0.0,58.0,0,1,1,1.65844163833e-26,0.0543388926549,6.16863845068,113.521607624
