,Palabra,cant central,cant guaranitica,Total central,Total guaranitica,Total central guaranitica,Pvalue,fnorm central,fnorm guaranitica,maxdif
21,breñas,0.0,2582.0,0,166,166,0.0,0.0543388926549,83.2701497153,1532.42264696
38,calamuchita,2040.0,3.0,74,3,77,0.0,110.851341016,0.0967507548978,1145.74135502
72,charata,0.0,1803.0,0,304,304,1.02909246228e-234,0.0543388926549,58.1472036936,1070.08444325
26,blv,1218.0,2.0,167,2,169,0.0,66.1847712536,0.0645005032652,1026.11247825
103,quedarla,450.0,0.0,165,0,165,6.55397006844e-167,24.4525016947,0.0322502516326,758.211190823
158,hpavie,0.0,921.0,0,2,2,6.82402871683e-121,0.0543388926549,29.7024817536,546.615514273
169,crysis,315.0,0.0,51,0,51,1.93873151781e-117,17.1167511863,0.0322502516326,530.747833577
172,cvis,0.0,886.0,0,2,2,2.25577358791e-116,0.0543388926549,28.5737229465,525.842937727
188,quitilipi,1.0,836.0,1,96,97,2.36131359199e-109,0.0543388926549,26.9612103648,496.167828373
209,resis,1.0,767.0,1,292,293,1.92579065732e-100,0.0543388926549,24.7359430022,455.216177468
216,ceyfe,260.0,0.0,1,0,1,2.83360901313e-97,14.1281120903,0.0322502516326,438.077576921
239,mnes,1.0,685.0,1,175,176,7.53884554888e-90,0.0543388926549,22.0914223683,406.548998129
259,lep,226.0,1.0,58,1,59,5.25586424545e-84,12.28058974,0.0322502516326,380.790509169
284,sheik,207.0,1.0,70,1,71,4.91021671056e-77,11.2481507796,0.0322502516326,348.77714778
293,infoberaweb,0.0,568.0,0,1,1,2.71387609387e-75,0.0543388926549,18.3181429273,337.109242245
303,rumipal,195.0,1.0,60,1,61,1.24275964083e-72,10.5960840677,0.0322502516326,328.55818269
2,oberá,8.0,4294.0,5,356,361,0.0,0.434711141239,138.48258051,318.562298899
319,chipote,188.0,0.0,87,0,87,7.3378213553e-71,10.2157118191,0.0322502516326,316.763786388
327,aijue,0.0,528.0,0,184,184,4.02309340222e-70,0.0543388926549,17.028132862,313.369154763
330,rosmi,185.0,0.0,68,0,68,9.26125255491e-70,10.0526951412,0.0322502516326,311.709045118
137,otc,2.0,1044.0,2,64,66,1.19947098071e-135,0.10867778531,33.6692627044,309.80814164
138,fsa,2.0,1041.0,1,336,337,2.92587646864e-135,0.10867778531,33.5725119495,308.917888359
337,virasoro,0.0,520.0,0,60,60,4.35406813939e-69,0.0543388926549,16.7701308489,308.621137265
64,obera,4.0,2062.0,1,391,392,7.06177649561e-266,0.21735557062,66.5000188664,305.950377424
353,naschel,178.0,0.0,49,0,49,3.43661701764e-67,9.67232289257,0.0322502516326,299.914648814
362,reartes,174.0,0.0,26,0,26,1.01051254766e-65,9.45496732195,0.0322502516326,293.174993785
14,embalse,1212.0,7.0,238,7,245,0.0,65.8587378977,0.225751761428,291.730781993
388,insfrán,1.0,473.0,1,33,34,1.90500903917e-62,0.0543388926549,15.2543690222,280.726534475
167,argel,2.0,907.0,2,398,400,5.83530081305e-118,0.10867778531,29.2509782308,269.153241827
24,ctes,6.0,2670.0,4,621,625,0.0,0.326033355929,86.108171859,264.108473238
410,bnz,156.0,0.0,44,0,44,4.11025630119e-59,8.47686725416,0.0322502516326,262.846546152
414,qlia,155.0,0.0,41,0,41,9.57484104636e-59,8.42252836151,0.0322502516326,261.161632395
418,udpm,0.0,434.0,0,23,23,5.77491455452e-58,0.0543388926549,13.9966092085,257.579949179
427,informáticaestudio,150.0,0.0,1,0,1,6.57023030237e-57,8.15083389823,0.0322502516326,252.737063608
185,teresss,2.0,845.0,2,353,355,5.91442267014e-110,0.10867778531,27.2514626295,250.754674028
449,auspician,147.0,1.0,5,1,6,5.20785786076e-55,7.98781722027,0.0322502516326,247.682322336
448,localstrike,0.0,412.0,0,2,2,4.05605790812e-55,0.0543388926549,13.2871036726,244.522901064
455,berá,0.0,407.0,0,23,23,1.79941643089e-54,0.0543388926549,13.1258524145,241.55539013
457,othacehe,141.0,0.0,25,0,25,1.32983559381e-53,7.66178386434,0.0322502516326,237.572839791
81,apóstoles,4.0,1583.0,4,139,143,4.37916835377e-204,0.21735557062,51.0521483344,234.878490525
466,tancacha,139.0,0.0,59,0,59,7.22149724343e-53,7.55310607903,0.0322502516326,234.203012276
492,mitai,1.0,386.0,1,144,145,3.43734175958e-51,0.0543388926549,12.4485971302,229.091844202
498,mbae,0.0,374.0,0,177,177,3.36014561761e-50,0.0543388926549,12.0615941106,221.969817957
510,akil,0.0,362.0,0,144,144,1.20206411378e-48,0.0543388926549,11.674591091,214.847791712
230,venados,254.0,2.0,6,2,8,1.74663249926e-93,13.8020787343,0.0645005032652,213.984047187
528,eldorado,1.0,356.0,1,93,94,2.63036655967e-47,0.0543388926549,11.4810895812,211.28677859
537,acumulable,125.0,1.0,1,1,2,6.31398280389e-47,6.79236158186,0.0322502516326,210.614219673
519,despeñaderos,125.0,0.0,38,0,38,1.00866081473e-47,6.79236158186,0.0322502516326,210.614219673
238,fajitas,246.0,2.0,147,2,149,1.49897638204e-90,13.3673675931,0.0645005032652,207.244392158
237,apostoles,2.0,695.0,2,94,96,1.39928434701e-90,0.10867778531,22.4139248846,206.242009999
142,colombi,3.0,1022.0,2,80,82,3.00997355693e-132,0.163016677965,32.9597571685,202.186411721
562,informaticaestudio,119.0,0.0,1,0,1,1.6202508542e-45,6.46632822593,0.0322502516326,200.504737129
576,vgb,119.0,1.0,57,1,58,1.01381681825e-44,6.46632822593,0.0322502516326,200.504737129
577,barberia,119.0,1.0,1,1,2,1.01381681825e-44,6.46632822593,0.0322502516326,200.504737129
98,legítima,4.0,1343.0,3,10,13,4.0565998851e-173,0.21735557062,43.3120879426,199.268359302
593,empeda,0.0,322.0,0,243,243,1.82085306271e-43,0.0543388926549,10.3845810257,191.10770423
607,formoseño,1.0,321.0,1,138,139,8.97516403328e-43,0.0543388926549,10.3523307741,190.514202044
609,oncativo,113.0,1.0,29,1,30,1.62981403402e-42,6.14029487,0.0322502516326,190.395254584
596,unne,0.0,320.0,0,152,152,3.30652709726e-43,0.0543388926549,10.3200805224,189.920699856
614,pris,0.0,313.0,0,31,31,2.66856755472e-42,0.0543388926549,10.094328761,185.766184547
639,exxim,0.0,301.0,0,116,116,9.57687895979e-41,0.0543388926549,9.70732574141,178.644158302
651,moconá,0.0,296.0,0,10,10,4.25810198138e-40,0.0543388926549,9.54607448325,175.676647367
664,tilisarao,102.0,0.0,23,0,23,2.90132433347e-39,5.5425670508,0.0322502516326,171.861203253
665,kalima,0.0,289.0,0,103,103,3.43959269666e-39,0.0543388926549,9.32032272182,171.522132058
681,cst,0.0,285.0,0,3,3,1.13504852544e-38,0.0543388926549,9.19132171529,169.148123309
700,pururu,98.0,0.0,70,0,70,8.60372570066e-38,5.32521148018,0.0322502516326,165.121548224
719,alimnetos,97.0,0.0,1,0,1,2.00799775943e-37,5.27087258752,0.0322502516326,163.436634466
718,astrolabio,97.0,0.0,1,0,1,2.00799775943e-37,5.27087258752,0.0322502516326,163.436634466
730,reviro,0.0,273.0,0,170,170,4.0812369378e-37,0.0543388926549,8.8043186957,162.026097065
731,pontevedra,96.0,0.0,30,0,30,4.68664886577e-37,5.21653369487,0.0322502516326,161.751720709
733,rcia,0.0,272.0,0,76,76,5.50120596931e-37,0.0543388926549,8.77206844406,161.432594878
759,bera,1.0,269.0,1,72,73,4.92830964969e-36,0.0543388926549,8.67531768917,159.652088317
750,ailo,94.0,0.0,2,0,2,2.55346703958e-36,5.10785590956,0.0322502516326,158.381893194
762,berrotaran,93.0,0.0,34,0,34,5.96073591562e-36,5.0535170169,0.0322502516326,156.696979437
761,culiadas,93.0,0.0,75,0,75,5.96073591562e-36,5.0535170169,0.0322502516326,156.696979437
794,pichado,1.0,261.0,1,177,178,5.37283843525e-35,0.0543388926549,8.41731567611,154.90407082
795,formoseños,0.0,255.0,0,98,98,8.81529812876e-35,0.0543388926549,8.22381416631,151.343057698
1,merlo,5771.0,65.0,622,52,674,0.0,313.589749511,2.09626635612,149.594419905
847,broncon,85.0,0.0,56,0,56,5.26726196928e-33,4.61880587566,0.0322502516326,143.217669378
883,biking,84.0,1.0,2,1,3,7.67019137695e-32,4.56446698301,0.0322502516326,141.53275562
896,azurra,83.0,1.0,1,1,2,1.79135929704e-31,4.51012809035,0.0322502516326,139.847841863
