,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
30,alvearense,733.0,0.0,39,0,39,0.0,77.9588273163,0.0322502516326,2417.3091176
14,santiescayol,504.0,0.0,1,0,1,0.0,53.6033410197,0.0322502516326,1662.1061327
7,televida,492.0,0.0,6,0,6,0.0,52.3270709954,0.0322502516326,1622.53217716
49,sanra,403.0,0.0,143,0,143,5.53071393502e-291,42.8614016487,0.0322502516326,1329.02534024
53,squash,379.0,0.0,2,0,2,8.77357808735e-274,40.3088616001,0.0322502516326,1249.87742915
62,malpegue,350.0,0.0,160,0,160,5.34726868302e-253,37.2245423748,0.0322502516326,1154.24036993
65,tveo,338.0,0.0,1,0,1,2.13410611887e-244,35.9482723505,0.0322502516326,1114.66641439
1,bowen,616.0,2.0,88,2,90,0.0,65.5151945796,0.0645005032652,1015.73152554
78,alvearenses,287.0,0.0,18,0,18,7.71035741815e-208,30.5241247473,0.0322502516326,946.477103343
81,indoors,278.0,1.0,2,1,3,3.06481007337e-200,29.5669222291,0.0322502516326,916.796636688
86,gargantini,270.0,0.0,17,0,17,1.18691883517e-195,28.7160755463,0.0322502516326,890.413999662
91,iskra,253.0,0.0,98,0,98,1.83069499785e-183,26.9080263452,0.0322502516326,834.350895979
95,marcolini,248.0,0.0,27,0,27,7.03975309481e-180,26.3762471684,0.0322502516326,817.861747836
96,ctes,0.0,2670.0,0,621,621,4.24763755101e-178,0.106355835356,86.108171859,809.623388983
18,cldo,1707.0,7.0,202,1,203,0.0,181.549410954,0.225751761428,804.199310808
16,zonda,486.0,2.0,218,2,220,0.0,51.6889359833,0.0645005032652,801.372599695
104,breñas,0.0,2582.0,0,166,166,2.69503514558e-172,0.106355835356,83.2701497153,782.939172417
127,atuel,206.0,0.0,35,0,35,9.22345556447e-150,21.9093020834,0.0322502516326,679.352903444
51,oberá,2.0,4294.0,1,356,357,3.74670726882e-284,0.212711670713,138.48258051,651.034238252
138,obera,1.0,2062.0,1,391,392,1.67196751163e-137,0.106355835356,66.5000188664,625.259710892
158,malargüe,169.0,0.0,50,0,50,3.19323993814e-123,17.9741361752,0.0322502516326,557.333207194
163,charata,0.0,1803.0,0,304,304,6.41980852057e-121,0.106355835356,58.1472036936,546.723209864
166,tmáx,162.0,0.0,3,0,3,3.35913427072e-118,17.2296453278,0.0322502516326,534.248399798
176,cldos,157.0,1.0,78,1,79,1.81356640962e-113,16.697866151,0.0322502516326,517.759251656
175,cld,156.0,0.0,13,0,13,6.77817963725e-114,16.5915103156,0.0322502516326,514.461422026
177,malargue,155.0,0.0,53,0,53,3.53691198176e-113,16.4851544803,0.0322502516326,511.163592399
192,mediatarde,147.0,1.0,80,1,81,2.71392174502e-106,15.6343077974,0.0322502516326,484.780955371
194,sugerida,146.0,1.0,3,1,4,1.41629407733e-105,15.527951962,0.0322502516326,481.483125741
213,csir,133.0,0.0,16,0,16,2.16949631602e-97,14.1453261024,0.0322502516326,438.611340573
